,Opening,Opening.1,Title,Production company,Cast and crew,Ref.,genres
0,J A N U A R Y,4,Escape Room,Columbia Pictures / Original Film,"Adam Robitel (director); Bragi F. Schut, Maria Melnik (screenplay); Taylor Russell, Logan Miller, Deborah Ann Woll, Tyler Labine, Jay Ellis, Nik Dodani, Yorick van Wageningen",[2],Horror Thriller Mystery
1,J A N U A R Y,4,Rust Creek,IFC Films / Lunacy Productions,"Jen McGowan (director); Julie Lipson (screenplay); Hermione Corfield, Jay Paulson, Sean O'Bryan, Micah Hauptman",[3],Thriller Drama Action Crime
2,J A N U A R Y,4,American Hangman,Hangman Justice Productions,"Wilson Coneybeare (director/screenplay); Donald Sutherland, Vincent Kartheiser, Oliver Dennis, Paul Braunstein",[4],Thriller
3,J A N U A R Y,11,A Dog's Way Home,Columbia Pictures,"Charles Martin Smith (director); W. Bruce Cameron (screenplay); Bryce Dallas Howard, Edward James Olmos, Alexandra Shipp, Ashley Judd, Jonah Haur-King, Wes Studi",[5],Drama Adventure Family
4,J A N U A R Y,11,The Upside,STX Entertainment,"Neil Burger (director); Jon Hartmere (screenplay); Bryan Cranston, Kevin Hart, Nicole Kidman",[6],Comedy Drama
5,J A N U A R Y,11,Replicas,Entertainment Studios,Jeffrey Nachmanoff (director); Chad St. John (screenplay); Keanu Reeves,[7],Science Fiction Thriller Drama
6,J A N U A R Y,15,After Darkness,Grindstone Entertainment Group,"Batán Silva (director); Fernando Diez Barroso (screenplay); Natalia Dyer, Kyra Sedgwick, Tim Daly",[8],Drama Family Thriller Science Fiction
7,J A N U A R Y,18,Glass,Universal Pictures / Buena Vista International / Perfect World Pictures / Blinding Edge Pictures / Blumhouse Productions,"M. Night Shyamalan (director/screenplay); James McAvoy, Bruce Willis, Samuel L. Jackson, Sarah Paulson, Anya Taylor-Joy, Spencer Treat Clark, Charlayne Woodard",[9],Thriller Drama Science Fiction
8,J A N U A R Y,18,Close,Netflix / Piccadilly Pictures,"Vicky Jewson (director); Vicky Jewson, Rupert Whitaker (screenplay); Noomi Rapace, Sophie Nélisse, Indira Varma, Eoin Macken",[10],Drama
9,J A N U A R Y,18,The Standoff at Sparrow Creek,Cinestate,"Henry Dunham (director/screenplay); James Badge Dale, Brian Geraghty",[11],Drama Thriller Mystery
10,J A N U A R Y,24,The Final Wish,BondIt Media Capital / Global Renaissance Entertainment Group,"Timothy Woodward Jr. (director); Jeffrey Reddick, William Halfon, Jonathan Doyle (screenplay); Lin Shaye, Michael Welch, Melissa Bolona, Spencer Locke, Tony Todd, Kaiwi Lyman-Mersereau, Jonathan Daniel Brown, Jean Elie, Christopher Murray, Douglas Tait, Larry Poole",[12],Horror
11,J A N U A R Y,25,The Kid Who Would Be King,20th Century Fox / TSG Entertainment / Working Title Films,"Joe Cornish (director/screenplay); Louis Ashbourne Serkis, Dean Chaumoo, Tom Taylor, Rhianna Doris, Angus Imrie, Rebecca Ferguson, Patrick Stewart",[13],Action Adventure Fantasy Family
12,J A N U A R Y,25,Serenity,Aviron Pictures / Global Road Entertainment,"Steven Knight (director/screenplay); Matthew McConaughey, Anne Hathaway, Jason Clarke, Diane Lane, Djimon Hounsou",[14],Science Fiction Action Adventure Thriller
13,J A N U A R Y,25,I Am Mother,Netflix,"Grant Sputore (director), Michael Lloyd Green (screenplay/story), Clara Rugaard, Rose Byrne, Hilary Swank",[15],Science Fiction Thriller
14,J A N U A R Y,26,The Vast of Night,GED Cinema,"Andrew Patterson (director), James Montague, Craig W. Sanger (writers); Sierra McCormick, Jake Horowitz",[16],Drama Mystery Science Fiction Thriller
15,F E B R U A R Y,1,Miss Bala,Columbia Pictures,"Catherine Hardwicke (director); Gareth Dunnet-Alcocer (screenplay); Gina Rodriguez, Ismael Cruz Córdova, Anthony Mackie",[5][17],Action
16,F E B R U A R Y,1,Velvet Buzzsaw,Netflix,"Dan Gilroy (director/screenplay); Jake Gyllenhaal, Rene Russo, Toni Collette, Zawe Ashton, Tom Sturridge, Natalia Dyer, Daveed Diggs, Billy Magnussen, John Malkovich",[18],Thriller Mystery Horror
17,F E B R U A R Y,1,Piercing,Universal Pictures,"Nicolas Pesce (director/screenplay); Christopher Abbott, Mia Wasikowska, Laia Costa, Maria Dizzia, Marin Ireland, Wendell Pierce",[19],Horror Thriller
18,F E B R U A R Y,8,The Lego Movie 2: The Second Part,Warner Bros. Pictures / Warner Animation Group,"Mike Mitchell (director); Phil Lord, Christopher Miller (screenplay); Chris Pratt, Elizabeth Banks, Tiffany Haddish, Will Arnett, Stephanie Beatriz, Charlie Day, Alison Brie, Nick Offerman, Maya Rudolph",[20],Action Adventure Animation Comedy Family
19,F E B R U A R Y,8,What Men Want,Paramount Players / Will Packer Productions,"Adam Shankman (director); Tina Gordon Chism (screenplay); Taraji P. Henson, Tracy Morgan, Max Greenfield, Aldis Hodge, Wendi McLendon-Covey",[21],Comedy Romance
20,F E B R U A R Y,8,Cold Pursuit,Summit Entertainment / StudioCanal,"Hans Petter Moland (director); Frank Baldwin (screenplay); Liam Neeson, Tom Bateman, Tom Jackson, Emmy Rossum, Domenick Lombardozzi, Julia Jones, John Doman, Laura Dern",[22],Comedy Action Crime Thriller
21,F E B R U A R Y,8,High Flying Bird,Netflix / Extension 765,"Steven Soderbergh (director); Tarell Alvin McCraney (screenplay); André Holland, Zazie Beetz, Melvin Gregg, Sonja Sohn, Zachary Quinto, Kyle MacLachlan, Bill Duke",[23],Drama
