director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Adam Robitel, Bruce Davison, Caitlin Gerard, Caitlin Gerard,Horror Mystery Thriller,insidious: the last key, Bruce Davison  Caitlin Gerard  Caitlin Gerard Adam Robitel Horror Mystery Thriller
Christopher Radcliff, Tobias Campbell, Owen Campbell, Owen Campbell,Drama Mystery,the strange ones, Tobias Campbell  Owen Campbell  Owen Campbell Christopher Radcliff Drama Mystery
Jaume Collet-Serra, Sam Neill, Jonathan Banks, Jonathan Banks,Action Thriller Mystery,the commuter, Sam Neill  Jonathan Banks  Jonathan Banks Jaume Collet-Serra Action Thriller Mystery
Babak Najafi, Danny Glover, Billy Brown, Billy Brown,Thriller Action Crime,proud mary, Danny Glover  Billy Brown  Billy Brown Babak Najafi Thriller Action Crime
Brett Donowho, Mike Epps, Sophia Bush, Sophia Bush,Action Crime Thriller,acts of violence, Mike Epps  Sophia Bush  Sophia Bush Brett Donowho Action Crime Thriller
Trudie Styler, Bette Midler, Laverne Cox, Laverne Cox,Comedy Drama,freak show, Bette Midler  Laverne Cox  Laverne Cox Trudie Styler Comedy Drama
Sam Hoffman, Maria Dizzia, Bebe Neuwirth, Bebe Neuwirth,Comedy,humor me, Maria Dizzia  Bebe Neuwirth  Bebe Neuwirth Sam Hoffman Comedy
Nicolai Fuglsig, Thad Luckinbill, Geoff Stults, Geoff Stults,War Drama Action History,12 strong, Thad Luckinbill  Geoff Stults  Geoff Stults Nicolai Fuglsig War Drama Action History
Christian Gudegast, 50 Cent, O'Shea Jackson Jr., O'Shea Jackson Jr.,Action Thriller Crime,den of thieves, 50 Cent  O'Shea Jackson Jr.  O'Shea Jackson Jr. Christian Gudegast Action Thriller Crime
Bethany Ashton Wolf, Travis Tritt, Abby Ryder Fortson, Abby Ryder Fortson,Romance Drama Music,forever my girl, Travis Tritt  Abby Ryder Fortson  Abby Ryder Fortson Bethany Ashton Wolf Romance Drama Music
Jesse Keller, Brian Patrick Butler, Ron Christopher Jones, Ron Christopher Jones,Drama Thriller,thane of east county, Brian Patrick Butler  Ron Christopher Jones  Ron Christopher Jones Jesse Keller Drama Thriller
Wes Ball, Patricia Clarkson, Will Poulter, Will Poulter,Science Fiction Action Adventure Thriller,maze runner: the death cure, Patricia Clarkson  Will Poulter  Will Poulter Wes Ball Science Fiction Action Adventure Thriller
Ben Lewin, Patton Oswalt, River Alexander, River Alexander,Comedy Drama,please stand by, Patton Oswalt  River Alexander  River Alexander Ben Lewin Comedy Drama
The Spierig Brothers, Sarah Snook, Jason Clarke, Jason Clarke,Horror Thriller,winchester, Sarah Snook  Jason Clarke  Jason Clarke The Spierig Brothers Horror Thriller
Sebastián Lelio, Francisco Reyes Morandé,Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega,Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega,Drama,a fantastic woman, Francisco Reyes Morandé Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega Sebastián Lelio Drama
Mario Van Peebles, William Fichtner, Paul Rodriguez, Paul Rodriguez,Action Thriller,armed, William Fichtner  Paul Rodriguez  Paul Rodriguez Mario Van Peebles Action Thriller
Julius Onah, Zhang Ziyi, David Oyelowo, David Oyelowo,Horror Science Fiction Action Thriller,the cloverfield paradox, Zhang Ziyi  David Oyelowo  David Oyelowo Julius Onah Horror Science Fiction Action Thriller
Bryan Coyne, Richard Riehle, Heather Vaughn, Heather Vaughn,Horror,bad apples, Richard Riehle  Heather Vaughn  Heather Vaughn Bryan Coyne Horror
